,count,count
613,"['scabbard, bayonet', 'scabbards']",1
614,['chemical furnace'],1
615,"['prints', 'lithographs']",1
616,['etchings (prints)'],1
617,"['note; 1789 07 06', 'note']",1
618,"['pipe, smoking']",1
619,"['mouthpiece, pipe, tobacco']",1
620,['thickness gauge'],1
621,"['fragment, pipe, tobacco']",1
622,"['bank note; 1808 09 02', 'bank note']",1
623,['worm'],1
624,"['page, workbook']",1
625,"['scale, balance']",1
626,['distilleries'],1
627,"['prosthesis', 'hand, artificial']",1
628,"['materials, construction']",1
629,"['potsherds', 'sherds, pan, milk']",1
630,"['curfew', 'curfew; fire making apparatus', 'lid, tinderbox']",1
631,"['deed, land']",1
632,"['sheet (paper); manuscript', 'invoice', 'sheet (paper)']",1
633,"['certificate, marriage', 'fraktur', 'pen and ink', 'certificates', 'license, marriage', 'certificate form, marriage']",1
634,"['fraktur', 'certificates', 'fraktur', 'drawings']",1
635,"['print, physician']",1
636,"['note', 'bank note', 'bank note; 1790 00 00']",1
637,"['note', 'receipt; 1778 03 12', 'receipt']",1
638,['trough compass'],1
639,"[""pattern book, weaver's""]",1
640,"['note', 'note; 1788 03 20']",1
641,"['note; 1789 12 10', 'note']",1
642,"['note', 'note; 1788 02 15']",1
643,"['vessel, with lid']",1
644,"['note', 'check']",1
645,"['maps', 'books']",1
646,"[""check, cashier's""]",1
647,"['note', 'bank note; 1781 04 20', 'bank note']",1
648,['geography assignment'],1
649,"['clock, tall', 'clock, tall case', 'clocks']",1
650,"['clock, case']",1
651,"['cannon, revolutionary war']",1
652,"['milestone, philadelphia pittsburgh']",1
653,"['button, politcal']",1
654,"['note', 'note; 1791 12 19']",1
655,"['note', 'note; 1786 04 01']",1
656,"['die, coin.1', 'punch']",1
657,"['sheet (paper)', 'etchings (prints)', 'prints']",1
658,"['plaques (flat objects)', 'plaq']",1
659,"['purses (bags)', 'pocketbook, embroidery', 'card case, embroidery']",1
660,['flasks (bottles)'],1
661,['oyster jar'],1
662,['music book'],1
663,"['semi circle', 'sighting instrument']",1
664,['sheet(paper)'],1
665,"['note', 'voucher']",1
666,['voucher'],1
667,"['receipt; 1778 02 12', 'receipt']",1
668,['knife sharperner'],1
669,['sunglass'],1
670,['ale bottle'],1
671,"['note', 'bill of exchange', 'bill of exchange; 178? 00 00']",1
672,"['note', 'paper currency, united states, 1 3', 'paper currency']",1
